,cause,effect,start,end,duration
0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM10_0,0,0,1
1,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,1,8,8
2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM10_0,9,9,1
3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,10,22,13
4,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,23,24,2
5,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_0,25,28,4
6,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,29,32,4
7,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,33,39,7
8,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,40,41,2
9,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,42,42,1
10,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_2,43,43,1
11,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,44,44,1
12,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,45,45,1
13,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,46,48,3
14,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,49,51,3
15,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,52,52,1
16,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,53,53,1
17,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,54,55,2
18,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,56,59,4
19,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,60,60,1
20,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,61,61,1
21,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM10_3,62,62,1
22,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_2,63,63,1
23,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_1,64,64,1
24,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,65,65,1
25,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,66,66,1
26,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,67,69,3
27,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,70,72,3
28,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,73,73,1
29,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,74,81,8
30,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_0,82,82,1
31,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_0,83,90,8
32,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_1,91,91,1
33,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_2,92,96,5
34,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,97,97,1
35,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM10_3,98,99,2
36,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,100,101,2
37,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,102,102,1
38,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM10_3,103,106,4
39,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM10_3,107,107,1
