,cause,effect,start,end,duration
0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,0,0,1
1,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,1,8,8
2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,9,9,1
3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10,22,13
4,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,23,24,2
5,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,25,28,4
6,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,29,32,4
7,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,33,39,7
8,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,40,40,1
9,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,41,42,2
10,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_2,43,43,1
11,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,44,44,1
12,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,45,45,1
13,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,46,48,3
14,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,49,51,3
15,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,52,52,1
16,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,53,53,1
17,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,54,55,2
18,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,56,59,4
19,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,60,60,1
20,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,61,61,1
21,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_3,62,62,1
22,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,63,63,1
23,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,64,64,1
24,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,65,65,1
25,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,66,66,1
26,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,67,69,3
