,effect,cause
0,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_2"
1,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
2,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
3,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
4,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
5,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
6,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
7,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
8,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
9,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2"
10,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
11,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
12,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
13,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
14,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
15,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
16,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
17,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
18,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
19,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
20,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
21,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
22,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
23,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
24,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
25,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
26,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
27,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
28,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
29,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
30,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
31,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
32,PM10_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
33,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
34,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
35,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
36,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
37,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
38,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
39,PM10_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
40,PM10_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
41,PM10_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
42,PM10_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
43,PM10_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
