,effect,cause
0,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_2"
1,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
2,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
3,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
4,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
5,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
6,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
7,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
8,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
9,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2"
10,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
11,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
12,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
13,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
14,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
15,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
16,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
17,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
18,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
19,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
20,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
21,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
22,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
23,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
24,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
25,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
26,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
27,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
28,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
29,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
30,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
31,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
32,PM2.5_0,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_1"
33,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
34,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
35,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
36,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
37,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
38,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
39,PM2.5_0,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
40,PM2.5_1,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
41,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
42,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
43,PM2.5_2,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
44,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1"
45,PM2.5_3,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0"
46,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
47,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
48,PM2.5_3,"TEMP_0, PRES_1, DEWP_0, RAIN_0, WSPM_0"
