,cause,effect
0,w_0,b_1
1,w_0,g_1
2,w_0,g_1
3,w_0,g_1
4,w_0,g_1
5,w_0,g_1
6,w_0,g_1
7,w_0,g_1
8,w_0,g_1
9,w_0,g_1
10,w_0,g_1
11,w_0,b_1
12,w_0,g_1
13,w_0,g_1
14,w_0,g_1
15,w_0,g_1
16,w_0,g_1
17,w_0,g_1
18,w_0,g_1
19,w_0,g_1
20,w_0,b_1
21,w_0,g_1
22,s_0,o_1
23,s_0,o_1
24,s_0,o_1
25,s_0,o_1
26,s_0,o_1
27,s_0,o_1
28,s_0,o_1
29,s_0,o_1
30,s_0,o_1
31,s_0,o_1
32,s_0,o_1
33,s_0,o_1
34,s_0,o_1
35,s_0,o_1
36,s_0,z_1
37,s_0,o_1
38,s_0,z_1
39,s_0,o_1
40,s_0,o_1
41,s_0,o_1
42,s_0,o_1
43,s_0,o_1
44,s_0,o_1
45,s_0,o_1
46,s_0,z_1
47,s_0,o_1
48,s_0,o_1
49,s_0,o_1
50,l_0,f_1
51,l_0,f_1
52,l_0,f_1
53,l_0,f_1
54,l_0,f_1
55,l_0,f_1
56,l_0,f_1
57,l_0,f_1
58,l_0,f_1
59,l_0,f_1
60,l_0,f_1
61,l_0,f_1
62,l_0,f_1
63,l_0,f_1
64,l_0,f_1
65,l_0,f_1
66,l_0,f_1
67,l_0,f_1
68,l_0,f_1
69,l_0,f_1
70,l_0,f_1
71,l_0,f_1
72,l_0,f_1
73,l_0,f_1
74,l_0,f_1
75,l_0,f_1
76,l_0,f_1
77,l_0,o_1
78,l_0,f_1
79,l_0,f_1
80,l_0,f_1
81,l_0,f_1
82,l_0,f_1
83,s_0,x_1
84,s_0,x_1
85,s_0,x_1
86,s_0,z_1
87,s_0,x_1
88,s_0,x_1
89,s_0,x_1
90,s_0,z_1
91,s_0,x_1
92,s_0,x_1
93,s_0,x_1
94,s_0,x_1
95,s_0,x_1
96,s_0,x_1
97,s_0,x_1
98,s_0,x_1
99,s_0,z_1
100,s_0,x_1
101,s_0,x_1
102,s_0,x_1
103,s_0,x_1
104,b_0,f_1
105,b_0,f_1
106,b_0,f_1
107,b_0,f_1
108,b_0,f_1
109,b_0,f_1
110,b_0,f_1
111,b_0,f_1
112,b_0,f_1
113,b_0,f_1
114,b_0,f_1
115,b_0,f_1
116,b_0,f_1
117,b_0,f_1
118,b_0,f_1
119,b_0,f_1
120,b_0,f_1
121,b_0,f_1
122,b_0,f_1
123,b_0,r_1
124,b_0,f_1
125,b_0,f_1
126,b_0,f_1
127,b_0,f_1
128,b_0,f_1
129,b_0,f_1
130,b_0,f_1
131,b_0,f_1
132,f_0,g_1
133,f_0,g_1
134,f_0,g_1
135,f_0,g_1
136,f_0,g_1
137,f_0,g_1
138,f_0,g_1
139,f_0,g_1
140,f_0,g_1
141,f_0,g_1
142,f_0,g_1
143,f_0,g_1
144,f_0,g_1
145,f_0,g_1
146,f_0,g_1
147,f_0,g_1
148,f_0,g_1
149,f_0,h_1
150,f_0,g_1
151,f_0,g_1
152,f_0,g_1
153,f_0,g_1
154,f_0,h_1
155,f_0,g_1
156,f_0,g_1
157,f_0,g_1
158,f_0,g_1
159,f_0,g_1
160,f_0,g_1
161,f_0,g_1
162,f_0,g_1
163,f_0,g_1
164,f_0,g_1
165,j_0,b_1
166,j_0,b_1
167,j_0,b_1
168,j_0,b_1
169,j_0,b_1
170,j_0,g_1
171,j_0,b_1
172,j_0,b_1
173,j_0,b_1
