cause,effect,start,end,duration
w_0,b_1,0,0,1
w_0,g_1,1,10,10
w_0,b_1,11,11,1
w_0,g_1,12,19,8
w_0,b_1,20,20,1
w_0,g_1,21,21,1
s_0,o_1,22,35,14
s_0,z_1,36,36,1
s_0,o_1,37,37,1
s_0,z_1,38,38,1
s_0,o_1,39,45,7
s_0,z_1,46,46,1
s_0,o_1,47,49,3
l_0,f_1,50,76,27
l_0,o_1,77,77,1
l_0,f_1,78,82,5
s_0,x_1,83,85,3
s_0,z_1,86,86,1
s_0,x_1,87,89,3
s_0,z_1,90,90,1
s_0,x_1,91,98,8
s_0,z_1,99,99,1
s_0,x_1,100,103,4
b_0,f_1,104,122,19
b_0,r_1,123,123,1
b_0,f_1,124,131,8
f_0,g_1,132,148,17
f_0,h_1,149,149,1
f_0,g_1,150,153,4
f_0,h_1,154,154,1
f_0,g_1,155,164,10
j_0,b_1,165,169,5
j_0,g_1,170,170,1
j_0,b_1,171,194,24
u_0,w_1,195,197,3
u_0,u_1,198,198,1
u_0,w_1,199,206,8
u_0,u_1,207,207,1
u_0,w_1,208,211,4
u_0,u_1,212,212,1
u_0,w_1,213,227,15
u_0,u_1,228,228,1
u_0,w_1,229,230,2
c_0,e_1,231,249,19
c_0,a_1,250,250,1
c_0,e_1,251,251,1
c_0,a_1,252,252,1
d_0,t_1,253,255,3
d_0,i_1,256,256,1
d_0,t_1,257,272,16
d_0,i_1,273,273,1
d_0,t_1,274,289,16
k_0,u_1,290,304,15
k_0,w_1,305,305,1
k_0,u_1,306,324,19
o_0,i_1,325,342,18
o_0,c_1,343,343,1
o_0,i_1,344,354,11
i_0,h_1,355,368,14
i_0,d_1,369,369,1
i_0,h_1,370,382,13
g_0,s_1,383,399,17
g_0,j_1,400,400,1
g_0,s_1,401,405,5
g_0,j_1,406,406,1
g_0,s_1,407,417,11
e_0,v_1,418,421,4
e_0,q_1,422,422,1
e_0,v_1,423,429,7
e_0,q_1,430,430,1
e_0,v_1,431,431,1
e_0,q_1,432,432,1
e_0,v_1,433,443,11
e_0,q_1,444,444,1
e_0,v_1,445,456,12
k_0,x_1,457,463,7
k_0,w_1,464,464,1
k_0,x_1,465,471,7
k_0,w_1,472,472,1
k_0,x_1,473,476,4
r_0,u_1,477,479,3
r_0,t_1,480,480,1
r_0,u_1,481,489,9
r_0,t_1,490,490,1
r_0,u_1,491,494,4
r_0,t_1,495,495,1
r_0,u_1,496,497,2
r_0,t_1,498,498,1
r_0,u_1,499,509,11
t_0,m_1,510,518,9
t_0,x_1,519,519,1
t_0,m_1,520,530,11
t_0,x_1,531,531,1
t_0,m_1,532,533,2
l_0,o_1,534,571,38
m_0,l_1,572,577,6
m_0,v_1,578,578,1
m_0,l_1,579,593,15
e_0,s_1,594,621,28
e_0,q_1,622,622,1
e_0,s_1,623,625,3
z_0,a_1,626,634,9
z_0,y_1,635,635,1
z_0,a_1,636,646,11
m_0,v_1,647,647,1
m_0,u_1,648,652,5
m_0,v_1,653,653,1
m_0,u_1,654,667,14
m_0,v_1,668,668,1
r_0,i_1,669,673,5
r_0,t_1,674,674,1
r_0,i_1,675,682,8
r_0,t_1,683,683,1
r_0,i_1,684,690,7
w_0,u_1,691,707,17
w_0,b_1,708,708,1
w_0,u_1,709,710,2
w_0,b_1,711,711,1
w_0,u_1,712,721,10
l_0,h_1,722,730,9
l_0,o_1,731,731,1
l_0,h_1,732,741,10
v_0,u_1,742,745,4
v_0,e_1,746,746,1
v_0,u_1,747,751,5
v_0,e_1,752,752,1
v_0,u_1,753,775,23
k_0,z_1,776,792,17
k_0,w_1,793,793,1
k_0,z_1,794,805,12
k_0,w_1,806,806,1
k_0,z_1,807,814,8
d_0,o_1,815,833,19
d_0,i_1,834,834,1
d_0,o_1,835,843,9
d_0,i_1,844,844,1
d_0,o_1,845,852,8
l_0,i_1,853,867,15
l_0,o_1,868,868,1
l_0,i_1,869,875,7
l_0,o_1,876,876,1
l_0,i_1,877,877,1
n_0,s_1,878,896,19
n_0,p_1,897,898,2
n_0,s_1,899,905,7
f_0,q_1,906,914,9
f_0,h_1,915,916,2
f_0,q_1,917,932,16
q_0,a_1,933,933,1
q_0,l_1,934,936,3
q_0,a_1,937,961,25
y_0,u_1,962,979,18
y_0,k_1,980,980,1
y_0,u_1,981,989,9
y_0,k_1,990,990,1
y_0,u_1,991,996,6
y_0,k_1,997,997,1
t_0,i_1,998,1024,27
t_0,x_1,1025,1025,1
t_0,i_1,1026,1027,2
n_0,b_1,1028,1034,7
n_0,p_1,1035,1035,1
n_0,b_1,1036,1046,11
n_0,p_1,1047,1047,1
g_0,o_1,1048,1053,6
g_0,j_1,1054,1054,1
g_0,o_1,1055,1069,15
g_0,j_1,1070,1070,1
g_0,o_1,1071,1075,5
k_0,p_1,1076,1077,2
k_0,w_1,1078,1079,2
k_0,p_1,1080,1092,13
k_0,w_1,1093,1093,1
k_0,p_1,1094,1103,10
h_0,f_1,1104,1104,1
h_0,s_1,1105,1107,3
h_0,f_1,1108,1108,1
h_0,s_1,1109,1130,22
h_0,f_1,1131,1131,1
h_0,s_1,1132,1140,9
g_0,j_1,1141,1168,28
v_0,v_1,1169,1189,21
v_0,e_1,1190,1190,1
v_0,v_1,1191,1191,1
v_0,e_1,1192,1192,1
v_0,v_1,1193,1203,11
l_0,y_1,1204,1220,17
l_0,o_1,1221,1221,1
l_0,y_1,1222,1227,6
l_0,o_1,1228,1228,1
l_0,y_1,1229,1234,6
e_0,r_1,1235,1259,25
e_0,q_1,1260,1260,1
e_0,r_1,1261,1261,1
e_0,q_1,1262,1262,1
e_0,r_1,1263,1266,4
e_0,q_1,1267,1267,1
e_0,r_1,1268,1268,1
j_0,o_1,1269,1285,17
j_0,g_1,1286,1286,1
j_0,o_1,1287,1289,3
j_0,g_1,1290,1290,1
j_0,o_1,1291,1291,1
i_0,v_1,1292,1299,8
i_0,d_1,1300,1300,1
i_0,v_1,1301,1314,14
v_0,t_1,1315,1329,15
v_0,e_1,1330,1330,1
v_0,t_1,1331,1343,13
a_0,n_1,1344,1346,3
a_0,m_1,1347,1347,1
a_0,n_1,1348,1350,3
a_0,m_1,1351,1351,1
a_0,n_1,1352,1362,11
a_0,m_1,1363,1363,1
a_0,n_1,1364,1380,17
a_0,m_1,1381,1381,1
m_0,m_1,1382,1396,15
m_0,v_1,1397,1398,2
m_0,m_1,1399,1401,3
m_0,v_1,1402,1402,1
m_0,m_1,1403,1413,11
m_0,v_1,1414,1414,1
d_0,n_1,1415,1417,3
d_0,i_1,1418,1418,1
d_0,n_1,1419,1449,31
r_0,s_1,1450,1452,3
r_0,t_1,1453,1453,1
r_0,s_1,1454,1454,1
r_0,t_1,1455,1455,1
r_0,s_1,1456,1457,2
r_0,t_1,1458,1458,1
r_0,s_1,1459,1464,6
r_0,t_1,1465,1465,1
r_0,s_1,1466,1483,18
a_0,r_1,1484,1498,15
a_0,m_1,1499,1499,1
a_0,r_1,1500,1516,17
z_0,k_1,1517,1518,2
z_0,y_1,1519,1519,1
z_0,k_1,1520,1542,23
z_0,y_1,1543,1543,1
z_0,k_1,1544,1550,7
t_0,f_1,1551,1566,16
t_0,x_1,1567,1567,1
t_0,f_1,1568,1572,5
t_0,x_1,1573,1573,1
t_0,f_1,1574,1589,16
s_0,z_1,1590,1592,3
s_0,e_1,1593,1613,21
d_0,m_1,1614,1629,16
d_0,i_1,1630,1630,1
d_0,m_1,1631,1635,5
x_0,w_1,1636,1638,3
x_0,s_1,1639,1639,1
x_0,w_1,1640,1669,30
y_0,z_1,1670,1691,22
y_0,k_1,1692,1692,1
y_0,z_1,1693,1694,2
a_0,h_1,1695,1710,16
a_0,m_1,1711,1711,1
a_0,h_1,1712,1721,10
a_0,m_1,1722,1722,1
a_0,h_1,1723,1724,2
a_0,m_1,1725,1725,1
a_0,h_1,1726,1727,2
b_0,t_1,1728,1731,4
b_0,r_1,1732,1732,1
b_0,t_1,1733,1756,24
b_0,r_1,1757,1758,2
b_0,t_1,1759,1765,7
b_0,r_1,1766,1766,1
b_0,t_1,1767,1767,1
l_0,e_1,1768,1788,21
l_0,o_1,1789,1789,1
l_0,e_1,1790,1792,3
s_0,m_1,1793,1806,14
s_0,z_1,1807,1807,1
s_0,m_1,1808,1810,3
s_0,z_1,1811,1811,1
s_0,m_1,1812,1813,2
q_0,h_1,1814,1818,5
q_0,l_1,1819,1819,1
q_0,h_1,1820,1828,9
q_0,l_1,1829,1830,2
q_0,h_1,1831,1843,13
e_0,e_1,1844,1846,3
e_0,q_1,1847,1847,1
e_0,e_1,1848,1865,18
x_0,h_1,1866,1870,5
x_0,s_1,1871,1871,1
x_0,h_1,1872,1891,20
i_0,v_1,1892,1917,26
i_0,d_1,1918,1918,1
i_0,v_1,1919,1927,9
i_0,d_1,1928,1928,1
i_0,v_1,1929,1930,2
z_0,s_1,1931,1946,16
z_0,y_1,1947,1947,1
z_0,s_1,1948,1952,5
z_0,y_1,1953,1953,1
z_0,s_1,1954,1956,3
z_0,y_1,1957,1957,1
l_0,i_1,1958,1961,4
l_0,o_1,1962,1962,1
l_0,i_1,1963,1991,29
l_0,o_1,1992,1992,1
l_0,i_1,1993,1995,3
x_0,g_1,1996,1999,4
x_0,s_1,2000,2000,1
x_0,g_1,2001,2023,23
x_0,s_1,2024,2025,2
x_0,g_1,2026,2028,3
s_0,s_1,2029,2044,16
s_0,z_1,2045,2045,1
s_0,s_1,2046,2054,9
a_0,z_1,2055,2059,5
a_0,m_1,2060,2060,1
a_0,z_1,2061,2064,4
a_0,m_1,2065,2065,1
a_0,z_1,2066,2074,9
a_0,m_1,2075,2075,1
a_0,z_1,2076,2077,2
a_0,m_1,2078,2078,1
a_0,z_1,2079,2092,14
z_0,k_1,2093,2103,11
z_0,y_1,2104,2104,1
z_0,k_1,2105,2106,2
z_0,y_1,2107,2107,1
z_0,k_1,2108,2124,17
c_0,a_1,2125,2154,30
r_0,k_1,2155,2169,15
r_0,t_1,2170,2170,1
r_0,k_1,2171,2185,15
r_0,t_1,2186,2186,1
q_0,s_1,2187,2215,29
q_0,l_1,2216,2216,1
q_0,s_1,2217,2217,1
f_0,a_1,2218,2220,3
f_0,h_1,2221,2221,1
f_0,a_1,2222,2224,3
f_0,h_1,2225,2225,1
f_0,a_1,2226,2229,4
f_0,h_1,2230,2230,1
f_0,a_1,2231,2241,11
j_0,c_1,2242,2249,8
j_0,g_1,2250,2250,1
j_0,c_1,2251,2277,27
j_0,g_1,2278,2278,1
j_0,c_1,2279,2281,3
n_0,i_1,2282,2300,19
n_0,p_1,2301,2301,1
n_0,i_1,2302,2309,8
n_0,p_1,2310,2310,1
n_0,i_1,2311,2311,1
n_0,p_1,2312,2312,1
n_0,i_1,2313,2314,2
n_0,p_1,2315,2315,1
n_0,i_1,2316,2317,2
o_0,d_1,2318,2333,16
o_0,c_1,2334,2334,1
o_0,d_1,2335,2342,8
o_0,c_1,2343,2343,1
o_0,d_1,2344,2349,6
o_0,c_1,2350,2350,1
o_0,d_1,2351,2353,3
b_0,m_1,2354,2364,11
b_0,r_1,2365,2365,1
b_0,m_1,2366,2376,11
t_0,m_1,2377,2377,1
t_0,x_1,2378,2378,1
t_0,m_1,2379,2407,29
c_0,j_1,2408,2414,7
c_0,a_1,2415,2415,1
c_0,j_1,2416,2425,10
c_0,a_1,2426,2426,1
c_0,j_1,2427,2427,1
l_0,s_1,2428,2429,2
l_0,o_1,2430,2430,1
l_0,s_1,2431,2438,8
l_0,o_1,2439,2439,1
l_0,s_1,2440,2447,8
h_0,p_1,2448,2460,13
h_0,f_1,2461,2461,1
h_0,p_1,2462,2467,6
h_0,f_1,2468,2468,1
h_0,p_1,2469,2473,5
t_0,u_1,2474,2478,5
t_0,x_1,2479,2479,1
t_0,u_1,2480,2487,8
t_0,x_1,2488,2488,1
t_0,u_1,2489,2496,8
u_0,p_1,2497,2502,6
u_0,u_1,2503,2503,1
u_0,p_1,2504,2508,5
u_0,u_1,2509,2509,1
u_0,p_1,2510,2515,6
u_0,u_1,2516,2516,1
u_0,p_1,2517,2522,6
l_0,d_1,2523,2526,4
l_0,o_1,2527,2527,1
l_0,d_1,2528,2530,3
l_0,o_1,2531,2531,1
l_0,d_1,2532,2549,18
s_0,k_1,2550,2571,22
s_0,z_1,2572,2573,2
s_0,k_1,2574,2583,10
s_0,z_1,2584,2584,1
s_0,k_1,2585,2587,3
m_0,v_1,2588,2620,33
a_0,w_1,2621,2638,18
a_0,m_1,2639,2639,1
a_0,w_1,2640,2659,20
d_0,o_1,2660,2662,3
d_0,i_1,2663,2663,1
d_0,o_1,2664,2675,12
d_0,i_1,2676,2676,1
d_0,o_1,2677,2685,9
t_0,g_1,2686,2695,10
t_0,x_1,2696,2696,1
t_0,g_1,2697,2707,11
t_0,x_1,2708,2708,1
t_0,g_1,2709,2722,14
v_0,h_1,2723,2747,25
v_0,e_1,2748,2748,1
v_0,h_1,2749,2759,11
b_0,k_1,2760,2760,1
b_0,r_1,2761,2761,1
b_0,k_1,2762,2787,26
i_0,d_1,2788,2788,1
i_0,z_1,2789,2811,23
h_0,f_1,2812,2812,1
h_0,r_1,2813,2821,9
h_0,f_1,2822,2822,1
h_0,r_1,2823,2846,24
m_0,t_1,2847,2855,9
m_0,v_1,2856,2856,1
m_0,t_1,2857,2857,1
m_0,v_1,2858,2858,1
m_0,t_1,2859,2861,3
m_0,v_1,2862,2862,1
m_0,t_1,2863,2868,6
h_0,g_1,2869,2876,8
h_0,f_1,2877,2877,1
h_0,g_1,2878,2887,10
h_0,f_1,2888,2888,1
h_0,g_1,2889,2892,4
g_0,s_1,2893,2916,24
g_0,j_1,2917,2917,1
g_0,s_1,2918,2922,5
j_0,b_1,2923,2933,11
j_0,g_1,2934,2934,1
j_0,b_1,2935,2944,10
j_0,g_1,2945,2945,1
j_0,b_1,2946,2946,1
j_0,g_1,2947,2947,1
j_0,b_1,2948,2948,1
t_0,x_1,2949,2949,1
t_0,n_1,2950,2953,4
t_0,x_1,2954,2954,1
t_0,n_1,2955,2978,24
t_0,x_1,2979,2979,1
t_0,n_1,2980,2985,6
y_0,x_1,2986,2986,1
y_0,k_1,2987,2988,2
y_0,x_1,2989,2989,1
y_0,k_1,2990,2990,1
y_0,x_1,2991,3020,30
y_0,k_1,3021,3021,1
y_0,x_1,3022,3023,2
n_0,l_1,3024,3039,16
n_0,p_1,3040,3040,1
n_0,l_1,3041,3042,2
n_0,p_1,3043,3043,1
n_0,l_1,3044,3050,7
y_0,b_1,3051,3066,16
y_0,k_1,3067,3067,1
y_0,b_1,3068,3069,2
y_0,k_1,3070,3070,1
y_0,b_1,3071,3072,2
m_0,w_1,3073,3075,3
m_0,v_1,3076,3076,1
m_0,w_1,3077,3085,9
m_0,v_1,3086,3086,1
m_0,w_1,3087,3094,8
m_0,v_1,3095,3095,1
m_0,w_1,3096,3104,9
m_0,v_1,3105,3105,1
m_0,w_1,3106,3107,2
i_0,h_1,3108,3111,4
i_0,d_1,3112,3112,1
i_0,h_1,3113,3115,3
i_0,d_1,3116,3116,1
i_0,h_1,3117,3132,16
i_0,d_1,3133,3133,1
t_0,s_1,3134,3157,24
t_0,x_1,3158,3158,1
t_0,s_1,3159,3161,3
t_0,x_1,3162,3162,1
t_0,s_1,3163,3164,2
t_0,x_1,3165,3165,1
t_0,s_1,3166,3166,1
j_0,q_1,3167,3194,28
j_0,g_1,3195,3195,1
j_0,q_1,3196,3201,6
o_0,y_1,3202,3206,5
o_0,c_1,3207,3207,1
o_0,y_1,3208,3221,14
o_0,c_1,3222,3222,1
f_0,p_1,3223,3226,4
f_0,h_1,3227,3227,1
f_0,p_1,3228,3231,4
f_0,h_1,3232,3232,1
f_0,p_1,3233,3235,3
f_0,h_1,3236,3236,1
f_0,p_1,3237,3244,8
o_0,g_1,3245,3257,13
o_0,c_1,3258,3258,1
o_0,g_1,3259,3261,3
o_0,c_1,3262,3262,1
o_0,g_1,3263,3268,6
x_0,p_1,3269,3270,2
x_0,s_1,3271,3271,1
x_0,p_1,3272,3296,25
x_0,s_1,3297,3297,1
x_0,p_1,3298,3306,9
i_0,d_1,3307,3307,1
i_0,x_1,3308,3331,24
e_0,q_1,3332,3332,1
e_0,p_1,3333,3334,2
e_0,q_1,3335,3335,1
e_0,p_1,3336,3346,11
e_0,q_1,3347,3347,1
e_0,p_1,3348,3350,3
e_0,q_1,3351,3351,1
e_0,p_1,3352,3366,15
g_0,u_1,3367,3372,6
g_0,j_1,3373,3373,1
g_0,u_1,3374,3374,1
g_0,j_1,3375,3375,1
g_0,u_1,3376,3394,19
c_0,w_1,3395,3407,13
c_0,a_1,3408,3408,1
c_0,w_1,3409,3430,22
c_0,a_1,3431,3431,1
c_0,w_1,3432,3434,3
y_0,u_1,3435,3436,2
y_0,k_1,3437,3437,1
y_0,u_1,3438,3463,26
e_0,y_1,3464,3466,3
e_0,q_1,3467,3467,1
e_0,y_1,3468,3480,13
e_0,q_1,3481,3481,1
e_0,y_1,3482,3491,10
j_0,o_1,3492,3505,14
j_0,g_1,3506,3506,1
j_0,o_1,3507,3513,7
r_0,l_1,3514,3528,15
r_0,t_1,3529,3529,1
r_0,l_1,3530,3531,2
r_0,t_1,3532,3532,1
r_0,l_1,3533,3534,2
r_0,t_1,3535,3535,1
r_0,l_1,3536,3536,1
z_0,w_1,3537,3540,4
z_0,y_1,3541,3541,1
z_0,w_1,3542,3542,1
z_0,y_1,3543,3543,1
z_0,w_1,3544,3551,8
z_0,y_1,3552,3552,1
z_0,w_1,3553,3563,11
y_0,b_1,3564,3571,8
y_0,k_1,3572,3572,1
y_0,b_1,3573,3585,13
m_0,z_1,3586,3586,1
m_0,v_1,3587,3587,1
m_0,z_1,3588,3613,26
a_0,e_1,3614,3618,5
a_0,m_1,3619,3619,1
a_0,e_1,3620,3623,4
a_0,m_1,3624,3624,1
a_0,e_1,3625,3625,1
a_0,m_1,3626,3626,1
a_0,e_1,3627,3640,14
h_0,z_1,3641,3641,1
h_0,f_1,3642,3642,1
h_0,z_1,3643,3660,18
h_0,f_1,3661,3661,1
h_0,z_1,3662,3668,7
d_0,z_1,3669,3690,22
d_0,i_1,3691,3691,1
d_0,z_1,3692,3692,1
y_0,l_1,3693,3703,11
y_0,k_1,3704,3704,1
y_0,l_1,3705,3719,15
h_0,o_1,3720,3726,7
h_0,f_1,3727,3727,1
h_0,o_1,3728,3746,19
b_0,v_1,3747,3760,14
b_0,r_1,3761,3761,1
b_0,v_1,3762,3776,15
h_0,r_1,3777,3792,16
h_0,f_1,3793,3793,1
h_0,r_1,3794,3797,4
h_0,f_1,3798,3798,1
h_0,r_1,3799,3807,9
j_0,v_1,3808,3817,10
j_0,g_1,3818,3818,1
j_0,v_1,3819,3826,8
j_0,g_1,3827,3827,1
j_0,v_1,3828,3832,5
j_0,g_1,3833,3833,1
j_0,v_1,3834,3837,4
c_0,m_1,3838,3867,30
c_0,a_1,3868,3868,1
c_0,m_1,3869,3874,6
x_0,a_1,3875,3884,10
x_0,s_1,3885,3885,1
